Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Top 5 vs Other Sales,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Contribution Pct,East Decaf Sales,Expenses to Sales Ratio,Inventory,Major Market Profit,Margin,Marketing,Pct in Major Market,Profit,Sales,Total Expenses
217,1/3/2012,Central,Major Market,Colombian,Beans,Coffee,Illinois,Top 5 Products,Regular,150,210,130,360,144,0,0,0.260869565,862,111,201,47,1,111,345,90
309,1/3/2012,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Others,Decaf,100,140,100,240,95,0,0,0.222222222,608,87,139,30,1,87,234,52
309,1/3/2012,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Top 5 Products,Regular,270,370,260,640,234,0,0,0.199633700,1310,203,312,77,1,203,546,109
630,1/3/2012,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Top 5 Products,Decaf,260,270,180,530,228,0,0,0.192982456,1459,140,228,63,1,140,456,88
312,1/3/2012,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Top 5 Products,Decaf,70,120,100,190,89,0,0,0.159817352,777,95,130,24,1,95,219,35
630,1/3/2012,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Top 5 Products,Decaf,70,90,60,160,83,0,0,0.205263158,623,68,107,27,1,68,190,39
773,1/3/2012,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Others,Decaf,80,120,100,200,95,0,0,0.162393162,821,101,139,26,1,101,234,38
217,1/3/2012,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Others,Regular,40,70,50,110,54,0,0,0.201492537,456,53,80,15,1,53,134,27
708,1/3/2012,Central,Major Market,Earl Grey,Leaves,Tea,Illinois,Others,Regular,60,90,40,150,72,0,0,0.3,558,54,108,23,1,54,180,54
319,1/3/2012,Central,Small Market,Amaretto,Beans,Coffee,Iowa,Others,Regular,10,30,20,40,18,0,0,0.355555556,821,0,27,5,0,11,45,16
641,1/3/2012,Central,Small Market,Colombian,Beans,Coffee,Iowa,Top 5 Products,Regular,20,40,20,60,28,0,0,0.467741935,965,0,34,8,0,5,62,29
712,1/3/2012,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Iowa,Others,Decaf,20,30,20,50,23,0,0,0.351851852,623,0,31,7,0,12,54,19
563,1/3/2012,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Top 5 Products,Regular,10,40,30,50,17,0,0,0.348837209,777,0,26,4,0,11,43,15
563,1/3/2012,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Top 5 Products,Decaf,10,40,30,50,17,0,0,0.372093023,777,0,26,4,0,10,43,16
641,1/3/2012,Central,Small Market,Chamomile,Leaves,Herbal Tea,Iowa,Top 5 Products,Decaf,200,280,200,480,234,0,0,0.201465201,1310,0,312,77,0,202,546,110
563,1/3/2012,Central,Small Market,Lemon,Leaves,Herbal Tea,Iowa,Top 5 Products,Decaf,80,120,90,200,95,0,0,0.226495726,608,0,139,30,0,86,234,53
712,1/3/2012,Central,Small Market,Darjeeling,Leaves,Tea,Iowa,Others,Regular,190,210,140,400,228,0,0,0.190789474,1459,0,228,63,0,141,456,87
319,1/3/2012,Central,Small Market,Earl Grey,Leaves,Tea,Iowa,Others,Regular,210,270,160,480,245,0,0,0.230769231,1419,0,301,93,0,175,546,126
636,1/3/2012,Central,Small Market,Colombian,Beans,Coffee,Missouri,Top 5 Products,Regular,90,100,40,190,85,0,0,0.347368421,494,0,105,32,0,39,190,66
573,1/3/2012,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Missouri,Others,Decaf,80,90,50,170,78,0,0,0.264705882,965,0,92,24,0,47,170,45
417,1/3/2012,Central,Small Market,Green Tea,Leaves,Tea,Missouri,Others,Regular,20,40,0,60,34,0,0,0.605263158,197,0,42,12,0,-4,76,46
573,1/3/2012,Central,Small Market,Caffe Mocha,Beans,Espresso,Missouri,Top 5 Products,Regular,50,90,70,140,50,0,0,0.203252033,821,0,73,14,0,48,123,25
660,1/3/2012,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Top 5 Products,Decaf,50,80,60,130,46,0,0,0.201754386,777,0,68,12,0,45,114,23
573,1/3/2012,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Top 5 Products,Decaf,30,40,0,70,37,0,0,0.711111111,261,0,53,34,0,-11,90,64
314,1/3/2012,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Top 5 Products,Decaf,70,10,-20,80,88,0,0,0.505050505,525,0,11,27,0,-39,99,50
314,1/3/2012,Central,Small Market,Darjeeling,Leaves,Tea,Missouri,Others,Regular,30,40,10,70,35,0,0,0.463414634,196,0,47,11,0,9,82,38
573,1/3/2012,Central,Small Market,Earl Grey,Leaves,Tea,Missouri,Others,Regular,20,30,-10,50,29,0,0,0.692307692,169,0,36,11,0,-9,65,45
740,1/3/2012,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Others,Regular,60,80,50,140,60,0,0,0.328571429,336,34,80,19,1,34,140,46
614,1/3/2012,Central,Major Market,Colombian,Beans,Coffee,Ohio,Top 5 Products,Regular,60,80,50,140,57,0,0,0.292857143,364,42,83,18,1,42,140,41
614,1/3/2012,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Others,Decaf,60,90,20,150,63,0,0,0.58,435,0,87,57,,0,150,87
216,1/3/2012,Central,Major Market,Earl Grey,Leaves,Tea,Ohio,Others,Regular,70,100,60,170,84,0,0,0.245,500,67,116,26,1,67,200,49
614,1/3/2012,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Top 5 Products,Decaf,60,90,40,150,58,0,0,0.430769231,338,16,72,22,1,16,130,56
614,1/3/2012,Central,Major Market,Caffe Mocha,Beans,Espresso,Ohio,Top 5 Products,Regular,190,210,140,400,170,0,0,0.211143695,1091,99,171,47,1,99,341,72
937,1/3/2012,Central,Major Market,Chamomile,Leaves,Herbal Tea,Ohio,Top 5 Products,Decaf,20,50,50,70,32,0,0,0.2375,456,29,48,8,1,29,80,19
740,1/3/2012,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Top 5 Products,Decaf,20,50,50,70,32,0,0,0.2375,821,29,48,8,1,29,80,19
567,1/3/2012,Central,Major Market,Darjeeling,Leaves,Tea,Ohio,Others,Regular,70,110,60,180,84,0,0,0.276190476,651,68,126,27,1,68,210,58
262,1/3/2012,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Others,Regular,50,70,30,120,54,0,0,0.441666667,312,0,66,20,0,13,120,53
262,1/3/2012,Central,Small Market,Colombian,Beans,Coffee,Wisconsin,Top 5 Products,Regular,80,110,20,190,79,0,0,0.536842105,551,0,111,72,0,9,190,102
414,1/3/2012,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Wisconsin,Others,Decaf,80,100,60,180,77,0,0,0.288888889,432,0,103,25,0,51,180,52
262,1/3/2012,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Others,Regular,60,90,10,150,75,0,0,0.544444444,522,0,105,68,0,7,180,98
262,1/3/2012,Central,Small Market,Decaf Espresso,Beans,Espresso,Wisconsin,Top 5 Products,Decaf,50,70,50,120,48,0,0,0.254545455,623,0,62,15,0,34,110,28
414,1/3/2012,Central,Small Market,Caffe Mocha,Beans,Espresso,Wisconsin,Top 5 Products,Regular,80,90,50,170,69,0,0,0.286666667,965,0,81,21,0,38,150,43
715,1/3/2012,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Top 5 Products,Decaf,50,100,80,150,67,0,0,0.238888889,400,0,113,20,0,70,180,43
715,1/3/2012,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Top 5 Products,Decaf,20,50,50,70,33,0,0,0.246913580,777,0,48,9,0,28,81,20
608,1/3/2012,Central,Small Market,Darjeeling,Leaves,Tea,Wisconsin,Others,Regular,50,80,50,130,61,0,0,0.28,390,0,89,19,0,47,150,42
475,1/3/2012,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Others,Regular,50,80,60,130,50,0,0,0.211382114,821,0,73,14,0,47,123,26
475,1/3/2012,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Others,Regular,40,60,40,100,38,0,0,0.223404255,777,0,56,10,0,35,94,21
475,1/3/2012,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Top 5 Products,Decaf,50,70,40,120,55,1,130,0.346153846,312,0,75,18,0,30,130,45
860,1/3/2012,East,Small Market,Caffe Mocha,Beans,Espresso,Connecticut,Top 5 Products,Regular,70,100,20,170,75,0,0,0.544444444,522,0,105,68,0,7,180,98
475,1/3/2012,East,Small Market,Colombian,Beans,Coffee,Connecticut,Top 5 Products,Regular,110,180,130,290,124,0,0,0.229032258,961,0,186,40,0,115,310,71
860,1/3/2012,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Top 5 Products,Decaf,60,80,40,140,85,1,190,0.342105263,494,0,105,32,0,40,190,65
475,1/3/2012,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Others,Decaf,50,80,50,130,78,1,170,0.264705882,965,0,92,24,0,47,170,45
954,1/3/2012,East,Major Market,Darjeeling,Leaves,Tea,Florida,Others,Regular,30,50,40,80,32,0,0,0.25,821,28,48,8,1,28,80,20
754,1/3/2012,East,Major Market,Green Tea,Leaves,Tea,Florida,Others,Regular,30,50,40,80,33,0,0,0.246913580,777,28,48,9,1,28,81,20
754,1/3/2012,East,Major Market,Decaf Espresso,Beans,Espresso,Florida,Top 5 Products,Decaf,70,100,60,170,77,1,180,0.294444444,432,50,103,25,1,50,180,53
239,1/3/2012,East,Major Market,Caffe Mocha,Beans,Espresso,Florida,Top 5 Products,Regular,70,110,30,180,79,0,0,0.536842105,551,9,111,72,1,9,190,102
754,1/3/2012,East,Major Market,Decaf Irish Cream,Beans,Coffee,Florida,Others,Decaf,80,110,70,190,84,1,200,0.245,500,67,116,26,1,67,200,49
954,1/3/2012,East,Major Market,Colombian,Beans,Coffee,Florida,Top 5 Products,Regular,80,110,70,190,84,0,0,0.276190476,651,68,126,27,1,68,210,58
863,1/3/2012,East,Major Market,Chamomile,Leaves,Herbal Tea,Florida,Top 5 Products,Decaf,30,50,30,80,48,1,110,0.254545455,623,34,62,15,1,34,110,28
239,1/3/2012,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Top 5 Products,Decaf,40,50,20,90,54,1,120,0.441666667,312,13,66,20,1,13,120,53
772,1/3/2012,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Others,Decaf,50,60,40,110,69,1,150,0.28,965,39,81,21,1,39,150,42
508,1/3/2012,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Others,Regular,30,50,40,80,32,0,0,0.2375,821,29,48,8,1,29,80,19
781,1/3/2012,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Others,Regular,30,50,40,80,32,0,0,0.2375,456,29,48,8,1,29,80,19
978,1/3/2012,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Others,Regular,160,170,110,330,170,0,0,0.208211144,1091,100,171,47,1,100,341,71
781,1/3/2012,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Top 5 Products,Regular,60,60,-10,120,63,0,0,0.682539683,435,-23,63,57,1,-23,126,86
413,1/3/2012,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Top 5 Products,Regular,60,400,360,460,72,0,0,0.111336032,558,367,422,23,1,367,494,55
339,1/3/2012,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Top 5 Products,Decaf,40,60,30,100,58,1,130,0.423076923,338,17,72,22,1,17,130,55
603,1/3/2012,East,Small Market,Darjeeling,Leaves,Tea,New Hampshire,Others,Regular,10,30,20,40,18,0,0,0.377777778,821,0,27,5,0,10,45,17
603,1/3/2012,East,Small Market,Green Tea,Leaves,Tea,New Hampshire,Others,Regular,10,30,20,40,17,0,0,0.348837209,777,0,26,4,0,11,43,15
603,1/3/2012,East,Small Market,Regular Espresso,Beans,Espresso,New Hampshire,Others,Regular,20,40,0,60,29,0,0,0.676923077,169,0,36,11,0,-8,65,44
603,1/3/2012,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Top 5 Products,Regular,30,50,0,80,37,0,0,0.7,261,0,53,34,0,-10,90,63
603,1/3/2012,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Others,Regular,30,50,30,80,38,0,0,0.376344086,241,0,55,12,0,20,93,35
603,1/3/2012,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Top 5 Products,Regular,40,70,40,110,48,0,0,0.391666667,372,0,72,15,0,25,120,47
603,1/3/2012,East,Small Market,Lemon,Leaves,Herbal Tea,New Hampshire,Top 5 Products,Decaf,20,30,0,50,34,1,76,0.605263158,197,0,42,12,0,-4,76,46
347,1/3/2012,East,Major Market,Darjeeling,Leaves,Tea,New York,Others,Regular,100,150,120,250,95,0,0,0.162393162,821,101,139,26,1,101,234,38
646,1/3/2012,East,Major Market,Earl Grey,Leaves,Tea,New York,Others,Regular,90,140,110,230,89,0,0,0.164383562,777,94,130,24,1,94,219,36
347,1/3/2012,East,Major Market,Green Tea,Leaves,Tea,New York,Others,Regular,50,90,70,140,54,0,0,0.194029851,456,54,80,15,1,54,134,26
631,1/3/2012,East,Major Market,Regular Espresso,Beans,Espresso,New York,Others,Regular,210,270,200,480,228,0,0,0.177551020,1459,175,262,63,1,175,490,87
315,1/3/2012,East,Major Market,Caffe Mocha,Beans,Espresso,New York,Top 5 Products,Regular,100,-50,-170,50,105,0,0,2.098360656,725,-172,-44,95,1,-172,61,128
716,1/3/2012,East,Major Market,Colombian,Beans,Coffee,New York,Top 5 Products,Regular,260,380,260,640,271,0,0,0.213864307,2101,262,407,94,1,262,678,145
607,1/3/2012,East,Major Market,Lemon,Leaves,Herbal Tea,New York,Top 5 Products,Decaf,180,190,100,370,245,1,483,0.262939959,1419,111,238,93,1,111,483,127
845,1/3/2012,East,Major Market,Mint,Leaves,Herbal Tea,New York,Others,Decaf,150,-10,-70,140,207,1,180,0.477777778,965,-113,-27,64,1,-113,180,86
337,1/3/2012,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Top 5 Products,Regular,50,100,80,150,67,0,0,0.238888889,400,0,113,20,0,70,180,43
337,1/3/2012,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Top 5 Products,Decaf,50,70,50,120,61,0,0,0.273333333,390,0,89,19,0,48,150,41
337,1/3/2012,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Top 5 Products,Decaf,40,60,40,100,49,0,0,0.25,623,0,63,16,0,35,112,28
504,1/3/2012,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Top 5 Products,Decaf,80,100,40,180,85,0,0,0.342105263,494,0,105,32,0,40,190,65
504,1/3/2012,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Others,Regular,60,90,10,150,75,0,0,0.538888889,522,0,105,68,0,8,180,97
225,1/3/2012,South,Small Market,Colombian,Beans,Coffee,Louisiana,Top 5 Products,Regular,40,60,50,100,34,0,0,0.247058824,777,0,51,9,0,30,85,21
985,1/3/2012,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Others,Decaf,40,60,50,100,33,0,0,0.246913580,777,0,48,9,0,28,81,20
505,1/3/2012,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Top 5 Products,Regular,30,40,-10,70,37,0,0,0.7,261,0,53,34,0,-10,90,63
505,1/3/2012,South,Small Market,Decaf Espresso,Beans,Espresso,New Mexico,Top 5 Products,Decaf,30,40,10,70,35,0,0,0.463414634,196,0,47,11,0,9,82,38
505,1/3/2012,South,Small Market,Chamomile,Leaves,Herbal Tea,New Mexico,Top 5 Products,Decaf,10,30,20,40,18,0,0,0.355555556,821,0,27,5,0,11,45,16
505,1/3/2012,South,Small Market,Lemon,Leaves,Herbal Tea,New Mexico,Top 5 Products,Decaf,20,40,20,60,28,0,0,0.483870968,965,0,34,8,0,4,62,30
505,1/3/2012,South,Small Market,Caffe Latte,Beans,Espresso,New Mexico,Others,Regular,20,30,0,50,29,0,0,0.676923077,169,0,36,11,0,-8,65,44
505,1/3/2012,South,Small Market,Colombian,Beans,Coffee,New Mexico,Top 5 Products,Regular,60,90,50,150,48,0,0,0.383333333,372,0,72,15,0,26,120,46
505,1/3/2012,South,Small Market,Decaf Irish Cream,Beans,Coffee,New Mexico,Others,Decaf,110,10,-30,120,88,0,0,0.505050505,525,0,11,27,0,-39,99,50
405,1/3/2012,South,Small Market,Caffe Mocha,Beans,Espresso,Oklahoma,Top 5 Products,Regular,20,40,40,60,32,0,0,0.25,456,0,48,8,0,28,80,20
405,1/3/2012,South,Small Market,Decaf Espresso,Beans,Espresso,Oklahoma,Top 5 Products,Decaf,70,110,70,180,84,0,0,0.280952381,651,0,126,27,0,67,210,59
918,1/3/2012,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Top 5 Products,Decaf,50,60,20,110,54,0,0,0.441666667,312,0,66,20,0,13,120,53
580,1/3/2012,South,Small Market,Lemon,Leaves,Herbal Tea,Oklahoma,Top 5 Products,Decaf,70,110,30,180,79,0,0,0.531578947,551,0,111,72,0,10,190,101
405,1/3/2012,South,Small Market,Caffe Latte,Beans,Espresso,Oklahoma,Others,Regular,70,100,70,170,84,0,0,0.25,500,0,116,26,0,66,200,50
580,1/3/2012,South,Small Market,Colombian,Beans,Coffee,Oklahoma,Top 5 Products,Regular,50,70,50,120,44,0,0,0.27,623,0,56,14,0,29,100,27
580,1/3/2012,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Others,Decaf,40,60,50,100,32,0,0,0.25,821,0,48,8,0,28,80,20
325,1/3/2012,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Top 5 Products,Regular,70,110,90,180,89,0,0,0.159817352,777,95,130,24,1,95,219,35
956,1/3/2012,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Top 5 Products,Decaf,40,70,60,110,54,0,0,0.194029851,456,54,80,15,1,54,134,26
281,1/3/2012,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Top 5 Products,Decaf,50,80,50,130,60,0,0,0.335714286,336,33,80,19,1,33,140,47
254,1/3/2012,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Top 5 Products,Decaf,50,80,50,130,57,0,0,0.292857143,364,42,83,18,1,42,140,41
830,1/3/2012,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Others,Regular,60,90,50,150,72,0,0,0.305555556,558,53,108,23,1,53,180,55
409,1/3/2012,South,Major Market,Colombian,Beans,Coffee,Texas,Top 5 Products,Regular,260,300,220,560,207,0,0,0.190265487,965,159,245,64,1,159,452,86
325,1/3/2012,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Others,Decaf,100,130,100,230,83,0,0,0.205263158,623,68,107,27,1,68,190,39
435,1/3/2012,West,Small Market,Caffe Latte,Beans,Espresso,Utah,Others,Regular,40,60,40,100,46,0,0,0.210526316,777,0,68,12,0,44,114,24
435,1/3/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Utah,Top 5 Products,Regular,40,60,40,100,49,0,0,0.258928571,623,0,63,16,0,34,112,29
435,1/3/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Top 5 Products,Decaf,40,70,50,110,50,0,0,0.211382114,821,0,73,14,0,47,123,26
801,1/3/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Top 5 Products,Decaf,30,50,30,80,38,0,0,0.365591398,241,0,55,12,0,21,93,34
435,1/3/2012,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Top 5 Products,Decaf,40,60,30,100,48,0,0,0.391666667,372,0,72,15,0,25,120,47
435,1/3/2012,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Others,Decaf,70,10,-30,80,88,0,0,0.515151515,525,0,11,27,0,-40,99,51
435,1/3/2012,West,Small Market,Darjeeling,Leaves,Tea,Utah,Others,Regular,20,40,0,60,37,0,0,0.7,261,0,53,34,0,-10,90,63
435,1/3/2012,West,Small Market,Earl Grey,Leaves,Tea,Utah,Others,Regular,20,30,10,50,35,0,0,0.463414634,196,0,47,11,0,9,82,38
435,1/3/2012,West,Small Market,Green Tea,Leaves,Tea,Utah,Others,Regular,10,30,10,40,29,0,0,0.692307692,169,0,36,11,0,-9,65,45
801,1/3/2012,West,Small Market,Amaretto,Beans,Coffee,Utah,Others,Regular,90,120,80,210,78,0,0,0.264705882,965,0,92,24,0,47,170,45
435,1/3/2012,West,Small Market,Colombian,Beans,Coffee,Utah,Top 5 Products,Regular,60,100,70,160,55,0,0,0.346153846,312,0,75,18,0,30,130,45
801,1/3/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Utah,Others,Decaf,100,130,70,230,85,0,0,0.347368421,494,0,105,32,0,39,190,66
661,1/3/2012,West,Major Market,Caffe Latte,Beans,Espresso,California,Others,Regular,210,220,150,430,228,0,0,0.192982456,1459,140,228,63,1,140,456,88
818,1/3/2012,West,Major Market,Caffe Mocha,Beans,Espresso,California,Top 5 Products,Regular,100,140,20,240,105,0,0,0.512,725,17,145,95,1,17,250,128
213,1/3/2012,West,Major Market,Decaf Espresso,Beans,Espresso,California,Top 5 Products,Decaf,220,300,200,520,234,0,0,0.199633700,1310,203,312,77,1,203,546,109
510,1/3/2012,West,Major Market,Chamomile,Leaves,Herbal Tea,California,Top 5 Products,Decaf,80,120,100,200,95,0,0,0.158119658,821,102,139,26,1,102,234,37
310,1/3/2012,West,Major Market,Lemon,Leaves,Herbal Tea,California,Top 5 Products,Decaf,170,220,160,390,207,0,0,0.188053097,965,160,245,64,1,160,452,85
707,1/3/2012,West,Major Market,Mint,Leaves,Herbal Tea,California,Others,Decaf,70,90,60,160,83,0,0,0.210526316,623,67,107,27,1,67,190,40
619,1/3/2012,West,Major Market,Darjeeling,Leaves,Tea,California,Others,Regular,50,90,80,140,89,0,0,0.164383562,777,94,130,24,1,94,219,36
650,1/3/2012,West,Major Market,Earl Grey,Leaves,Tea,California,Others,Regular,30,60,60,90,54,0,0,0.194029851,456,54,80,15,1,54,134,26
760,1/3/2012,West,Major Market,Green Tea,Leaves,Tea,California,Others,Regular,40,80,50,120,72,0,0,0.3,558,54,108,23,1,54,180,54
916,1/3/2012,West,Major Market,Amaretto,Beans,Coffee,California,Others,Regular,110,70,30,180,95,0,0,0.358620690,608,-2,50,30,1,-2,145,52
559,1/3/2012,West,Major Market,Colombian,Beans,Coffee,California,Top 5 Products,Regular,340,500,370,840,271,0,0,0.213864307,2101,262,407,94,1,262,678,145
650,1/3/2012,West,Major Market,Decaf Irish Cream,Beans,Coffee,California,Others,Decaf,180,-40,-120,140,144,0,0,0.771186441,862,-117,-26,47,1,-117,118,91
775,1/3/2012,West,Small Market,Caffe Latte,Beans,Espresso,Nevada,Others,Regular,10,30,20,40,17,0,0,0.348837209,777,0,26,4,0,11,43,15
702,1/3/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Nevada,Top 5 Products,Regular,10,30,20,40,18,0,0,0.377777778,821,0,27,5,0,10,45,17
775,1/3/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Nevada,Top 5 Products,Decaf,10,30,20,40,17,0,0,0.348837209,777,0,26,4,0,11,43,15
775,1/3/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Others,Decaf,30,40,20,70,28,0,0,0.483870968,965,0,34,8,0,4,62,30
702,1/3/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Nevada,Top 5 Products,Decaf,90,130,30,220,105,0,0,0.516,725,0,145,95,0,16,250,129
775,1/3/2012,West,Small Market,Lemon,Leaves,Herbal Tea,Nevada,Top 5 Products,Decaf,120,180,120,300,144,0,0,0.260869565,862,0,201,47,0,111,345,90
702,1/3/2012,West,Small Market,Mint,Leaves,Herbal Tea,Nevada,Others,Decaf,80,120,90,200,95,0,0,0.226495726,608,0,139,30,0,86,234,53
775,1/3/2012,West,Small Market,Darjeeling,Leaves,Tea,Nevada,Others,Regular,150,220,150,370,234,0,0,0.199633700,1310,0,312,77,0,203,546,109
775,1/3/2012,West,Small Market,Earl Grey,Leaves,Tea,Nevada,Others,Regular,150,160,100,310,228,0,0,0.190789474,1459,0,228,63,0,141,456,87
702,1/3/2012,West,Small Market,Green Tea,Leaves,Tea,Nevada,Others,Regular,160,-160,-240,0,245,0,0,7.411764706,1419,0,-245,93,0,-354,17,126
702,1/3/2012,West,Small Market,Colombian,Beans,Coffee,Nevada,Top 5 Products,Regular,40,50,10,90,34,0,0,0.592105263,197,0,42,12,0,-3,76,45
503,1/3/2012,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Others,Regular,50,70,20,120,58,0,0,0.430769231,338,0,72,22,0,16,130,56
503,1/3/2012,West,Small Market,Caffe Mocha,Beans,Espresso,Oregon,Top 5 Products,Regular,50,80,50,130,60,0,0,0.335714286,336,0,80,19,0,33,140,47
971,1/3/2012,West,Small Market,Decaf Espresso,Beans,Espresso,Oregon,Top 5 Products,Decaf,160,160,100,320,170,0,0,0.211143695,1091,0,171,47,0,99,341,72
971,1/3/2012,West,Small Market,Decaf Irish Cream,Beans,Coffee,Oregon,Others,Decaf,70,100,70,170,57,0,0,0.292857143,364,0,83,18,0,42,140,41
971,1/3/2012,West,Small Market,Chamomile,Leaves,Herbal Tea,Oregon,Top 5 Products,Decaf,30,40,40,70,36,0,0,0.233333333,777,0,54,10,0,33,90,21
